Date	RF 
04/11/2020	6,9358E-06
05/11/2020	6,9358E-06
06/11/2020	6,9358E-06
09/11/2020	6,9358E-06
10/11/2020	6,9358E-06
11/11/2020	6,9358E-06
12/11/2020	6,9358E-06
13/11/2020	6,9358E-06
16/11/2020	6,9358E-06
17/11/2020	6,9358E-06
18/11/2020	6,9358E-06
19/11/2020	6,9358E-06
20/11/2020	6,9358E-06
23/11/2020	6,9358E-06
24/11/2020	6,9358E-06
25/11/2020	6,9358E-06
27/11/2020	6,9358E-06
30/11/2020	6,9358E-06
01/12/2020	6,9358E-06
02/12/2020	6,9358E-06
03/12/2020	6,9358E-06
04/12/2020	6,9358E-06
07/12/2020	6,9358E-06
08/12/2020	6,9358E-06
09/12/2020	6,9358E-06
10/12/2020	6,9358E-06
11/12/2020	6,9358E-06
14/12/2020	6,9358E-06
15/12/2020	6,9358E-06
16/12/2020	6,9358E-06
17/12/2020	6,9358E-06
18/12/2020	6,9358E-06
21/12/2020	6,9358E-06
22/12/2020	6,9358E-06
23/12/2020	6,9358E-06
24/12/2020	6,9358E-06
28/12/2020	6,9358E-06
29/12/2020	6,9358E-06
30/12/2020	6,9358E-06
31/12/2020	6,9358E-06
